0	78	50	
0	78	68	
0	78	74	
0	78	76	
0	77	77	
0	78	77	
0	78	78	
0	77	78	
0	78	78	
0	77	78	
0	78	78	
0	78	77	
0	78	77	
0	78	78	
0	78	78	
0	77	78	
0	77	78	
0	77	77	
0	77	77	
0	79	77	
0	77	77	
-3	76	75	
-10	69	68	
-19	60	60	
-26	51	52	
-34	44	45	
-43	36	36	
-51	26	27	
-57	20	20	
-63	13	14	
-68	8	9	
-72	5	4	
-76	0	0	
-81	-3	-4	
-84	-8	-8	
-88	-12	-12	
-91	-15	-15	
-94	-18	-18	
-97	-20	-21	
-99	-22	-23	
-100	-25	-24	
-101	-24	-25	
-102	-26	-26	
-104	-26	-28	
-105	-29	-29	
-105	-29	-29	
-106	-30	-30	
-107	-30	-30	
-108	-31	-31	
-109	-32	-32	
-109	-33	-32	
-110	-32	-33	
-112	-34	-34	
-114	-37	-37	
-119	-41	-41	
-125	-48	-47	
-129	-51	-52	
-132	-55	-55	
-136	-59	-59	
-141	-64	-64	
-146	-69	-68	
-149	-72	-71	
-152	-74	-74	
-155	-78	-78	
-158	-81	-81	
-158	-80	-81	
-158	-81	-81	
-158	-81	-81	
-158	-81	-81	
-158	-80	-80	
-158	-81	-80	
-158	-81	-81	
-158	-80	-81	
-158	-80	-80	
-158	-80	-80	
-158	-81	-81	
-158	-81	-80	
-158	-81	-81	
-158	-81	-80	
-158	-81	-80	
-158	-80	-81	
-158	-81	-81	
-158	-81	-81	
-158	-80	-81	
-158	-80	-81	
-158	-81	-81	
-158	-80	-81	
-158	-80	-80	
-156	-78	-79	
-148	-70	-72	
-139	-65	-63	
-125	-49	-50	
-112	-38	-37	
-103	-24	-25	
-93	-11	-14	
-86	-6	-6	
-84	-2	-3	
-84	0	-1	
-84	-1	-2	
-85	-2	-2	
-85	-3	-3	
-85	-3	-3	
-86	-3	-3	
-87	-4	-4	
-87	-4	-4	
-87	-4	-4	
-87	-4	-4	
-87	-5	-4	
-88	-5	-5	
-88	-5	-5	
-87	-5	-5	
-87	-4	-4	
-87	-4	-5	
-88	-5	-5	
-88	-5	-5	
-88	-5	-5	
-88	-5	-5	
-88	-5	-5	
-88	-4	-5	
-88	-5	-5	
-88	-5	-5	
-89	-6	-6	
-88	-5	-5	
-89	-6	-6	
-89	-6	-6	
-89	-6	-6	
-89	-6	-6	
-89	-5	-5	
-89	-5	-5	
-89	-6	-6	
-89	-5	-6	
-89	-6	-6	
-89	-6	-6	
-88	-4	-4	
-86	-5	-3	
-76	5	5	
-63	18	18	
-52	31	30	
-39	46	44	
-25	61	60	
-19	69	67	
-14	73	73	
-9	85	78	
-9	76	78	
-10	75	77	
-10	79	78	
-10	79	78	
-10	77	77	
-10	78	77	
-10	77	78	
-9	77	78	
-9	77	77	
-9	77	77	
-9	78	77	
-9	78	77	
-9	77	77	
-9	77	77	
-9	77	77	
-9	77	77	
-9	77	77	
-9	78	78	
-9	78	78	
-9	77	78	
-9	77	78	
-9	77	78	
-9	78	78	
-9	78	78	
-9	77	77	
-9	78	78	
-9	77	77	
-9	78	77	
-9	78	78	
-9	78	78	
-9	77	78	
